,candidates,distr,num_of_candidate,num_sent,num_token,replaced,result,source
474,"['<UNK>' 'the' 'a' 'that' 'one' 'two' 'three' 'four' '10' 'five' '1' 'six'
 '20' '30' '2' 'half' '12' '11' '15' '3' '5' '4' '50' '100' 'jobs' '25'
 '18' '14' '16' '7' '13' '8' '6' '40' '9' '17' '24' '22' '21' '60' '23'
 '28' '26' '500' '200' '70' '35' '80' '1,000' '45' '90' '300' '150' '400'
 '100,000' '10,000' '42' '2,000' '44' '5,000' '3,000' '50,000' '700' '600'
 '800' '20,000' '30,000' '200,000' '500,000' '4,000' 'two-thirds'
 '250,000' '40,000' '300,000' '25,000' '15,000' '350' '6,000' '8,000'
 '150,000' '900' '1,200' '180' '7,000' '60,000' '400,000' '12,000'
 '70,000' '80,000' '600,000' '9,000' '35,000' '11,000' '800,000' '700,000'
 '1000' '18,000' '75,000' '14,000' '13,000' '16,000' '45,000' '90,000'
 '21,000' '125,000' '36,000' '38,000']",[0.         0.         0.00935963 ... 0.         0.         0.        ],107,19,36,True,"40,000",250
475,,,0,19,37,False,of,of
476,,,0,19,38,False,them,them
477,['<UNK>' 'the' 'of' 'that' 'for' 'this' 'over' 'these'],[0.         0.         0.12456857 ... 0.         0.         0.        ],8,19,39,True,of,in
478,,,0,19,40,False,past,past
479,['<UNK>' 'the' 'and' 'years' 'week' 'months' 'days' 'jobs'],[0.         0.         0.12505665 ... 0.         0.         0.        ],8,19,41,True,week,year
480,,,0,19,42,False,.,.
481,"['<UNK>' ',' 'and' '""' ')' '--' '-' 'And' '...' 'For' 'To' 'Just' '*']",[0.         0.         0.07730334 ... 0.         0.         0.        ],13,19,43,True,Just,All
482,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'The' 'was' 'with' 'said' 'at' 'it' 'by' 'from' 'have' 'has' 'are'
 'their' 'were' 'but' 'this' 'more' 'or' 'its' 'about' 'one' 'also' 'two'
 'people' 'all' 'over' 'other' 'new' 'there' 'some' 'them' 'million' 'now'
 'three' 'many' 'our' 'those' 'my' 'around' 'American' 'these' 'several'
 'local' 'working' 'current' 'Americans' 'white' 'These' 'illegal']",[0.        0.        0.0158295 ... 0.        0.        0.       ],63,19,44,True,The,you
483,,,0,19,45,False,White,White
484,"['<UNK>' ',' 'of' 'and' '""' ""'s"" 'that' 'is' 'have' 'are' 'will' 'or'
 'people' '/' 'American' 'business' 'need' '&' 'jobs' '+']",[0.         0.         0.05040409 ... 0.         0.         0.        ],20,19,46,True,will,Real
485,,,0,19,47,False,Americans,Americans
486,,,0,19,48,False,who,who
487,"['<UNK>' ',' 'of' 'and' 'in' '""' ""'s"" 'is' 'was' 'be' 'have' 'were' 'also'
 'all' 'only' 'just' 'like' 'now' 'do' 'back' 'get' 'still' 'did' 'work'
 'go' 'left' 'come' ""'re"" 'came' 'already' 'went' 'start' 'really' 'keep'
 'began' 'ever' 'started' 'continue' 'spent' 'leave' 'actually'
 'currently' 'stopped' 'quit']",[0.         0.         0.02272671 ... 0.         0.         0.        ],44,19,49,True,like,are
488,"['<UNK>' 'the' ',' '.' 'to' 'and' 'a' 'in' '""' 'that' 'on' 'as' 'have'
 'are' 'not' 'been' 'more' 'up' 'out' 'people' 'all' 'over' 'there' 'only'
 'just' 'now' 'made' 'back' 'off' 'home' 'around' 'going' 'left' 'good'
 'used' 'away' 'here' 'lost' 'job' 'working' 'asked' 'workers' 'jobs'
 'Americans' 'needed' 'arrested' 'paid' 'worked' 'employees' 'created'
 'fighting' 'gone' 'illegal' 'responsible' 'paying' 'fired' 'voted' 'rich'
 'picked' 'claiming' 'immigrants' 'hired' 'sick' 'qualified' 'hiring'
 'unemployed' 'hungry' 'illegals']",[0.         0.         0.01476136 ... 0.         0.         0.        ],68,19,50,True,voted,looking
489,"['the' ',' 'to' 'and' 'a' 'in' 'on' 'at' 'have' 'are' 'will' 'after' 'up'
 'out' 'over' 'into' 'like' 'back' 'good' 'past']",[0. 0. 0. ... 0. 0. 0.],20,19,51,True,at,for
490,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' '""' 'that' 'is' 'it' 'have' 'are'
 'they' 'this' 'more' 'one' 'out' 'her' 'you' 'people' 'all' ""'"" 'time'
 'some' 'them' 'him' 'those' 'home' 'state' 'American' 'good' 'money'
 'business' 'me' '...' 'us' 'news' 'information' 'pay' 'better' 'change'
 'enough' 'job' 'something' 'food' 'real' 'workers' 'jobs' 'homes'
 'someone' 'income' 'housing' 'businesses' 'land' 'benefits' 'ways'
 'opportunity' 'places' 'positions' 'labor' 'immigrants' 'posts'
 'illegals']",[0.         0.         0.01564834 ... 0.         0.         0.        ],64,19,52,True,is,work
491,,,0,19,53,False,that,that
492,,,0,19,54,False,the,the
493,"['<UNK>' 'the' '""' 'more' 'one' 'people' ""'"" 'only' 'government' 'Obama'
 'company' 'country' 'state' 'American' 'President' 'money' 'business'
 'president' 'family' '...' 'companies' 'economy' 'America' 'office'
 'Bush' 'tax' 'Clinton' 'others' 'banks' 'administration' 'McCain'
 'workers' 'jobs' 'bill' 'Americans' 'Congress' 'Democrats' 'person'
 'Republicans' 'GOP' 'guy' 'USA' 'folks' 'employer' 'republicans' 'bush'
 'democrats' 'american' 'obama' 'illegals' 'gov' 'govt' 'Gov' 'goverment'
 'repubs']",[0.         0.         0.01834645 ... 0.         0.         0.        ],55,19,55,True,obama,Latinos
494,,,0,19,56,False,stole,stole
495,,,0,19,57,False,from,from
496,,,0,19,58,False,you..Where,you..Where
497,,,0,19,59,False,are,are
498,,,0,19,60,False,you,you
499,,,0,19,61,False,?,?
500,,,0,19,62,False,The,The
501,"['<UNK>' 'the' ',' 'and' '""' 'that' 'more' 'people' ""'"" 'time' 'only'
 'just' 'Obama' 'world' 'home' 'country' 'way' 'work' 'day' 'end' '%'
 'good' 'need' 'long' '...' 'right' 'place' 'better' 'point' 'job' 'line'
 'problems' 'name' 'needs' 'question' 'rest' 'poor' 'numbers' 'post'
 'kids' 'ones' 'guys' 'posts' 'folks' 'republicans']",[0.         0.         0.02260063 ... 0.         0.         0.        ],45,19,63,True,right,jobs
502,,,0,19,64,False,are,are
503,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'is'
 'with' 'as' 'at' 'by' 'from' 'be' 'are' 'not' 'this' 'about' 'up' 'out'
 'you' 'over' 'new' 'just' 'like' 'now' 'off' 'even' 'your' 'around'
 'left' 'called' '...' 'right' 'near' 'real' 'outside' 'leaving']",[0.         0.         0.02279537 ... 0.         0.         0.        ],44,19,65,True,a,i
504,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'was' 'with' 'as' 'it' 'by' 'from' 'be' 'have' 'are' ')' 'not'
 'will' 'I' '--' 'were' 'they' 'but' 'this' 'more' 'or' 'about' ':' 'up'
 'one' 'also' ""'t"" 'out' 'you' 'people' '-' 'all' ""'"" 'there' '?' 'them'
 'so' 'only' 'just' 'like' 'now' 'being' 'get' 'even' 'much' 'still'
 'then' 'work' 'left' 'me' '...' 'right' ""'re"" '!' 'here' '&' 'really'
 'job' 'keep' ""'m"" 'always' 'workers' 'jobs' 'am' 'feel' 'leave'
 'probably' 'actually' 'love' 's' '..' 'i' '....' 'NOT' 'm' 're']",[0.         0.         0.01130426 ... 0.         0.         0.        ],90,19,66,True,feel,Vadalia
505,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'was' 'with' 'as' 'at' 'it' 'by' 'from' 'have' 'are' ')' 'not' 'I'
 '--' 'they' 'but' 'this' 'or' 'about' ':' 'after' 'one' 'also' 'out'
 'you' 'when' 'people' '-' 'all' 'over' ""'"" 'we' 'there' '?' 'them' 'if'
 'no' 'so' 'government' 'now' 'being' 'home' 'country' 'work' '%' 'left'
 'business' '...' 'without' 'already' '!' 'here' '&' 'office' 'job'
 'workers' 'jobs' '..' '....' '.....' '......']",[0.         0.         0.01346895 ... 0.         0.         0.        ],75,19,67,True,),just
506,,,0,19,68,False,waiting,waiting
507,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'on' 'is'
 'with' 'as' 'at' 'it' 'by' 'from' 'not' '(' 'this' 'more' 'about' 'up'
 'out' 'you' '-' 'all' 'over' '?' 'them' 'no' 'so' 'what' 'like' 'because'
 'now' 'back' 'through' 'around' 'me' '...' '!' '&' '..' '....' '.....']",[0.         0.         0.02089203 ... 0.         0.         0.        ],48,19,69,True,through,for
508,,,0,19,70,False,you..Or,you..Or
509,,,0,19,71,False,maybe,maybe
510,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'was' 'with' 'as' 'at' 'it' 'by' 'from' 'be' 'are' 'not' '--' 'but'
 'this' 'or' 'about' 'after' 'up' 'also' ""'t"" 'out' 'you' '-' 'all' 'over'
 '?' 'only' 'just' 'like' 'because' 'get' 'even' 'see' 'me' 'use' '...']",[0.         0.         0.02061793 ... 0.         0.         0.        ],49,19,72,True,of,its
511,,,0,19,73,False,the,the
512,,,0,19,74,False,fact,fact
513,,,0,19,75,False,that,that
514,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' '""' ""'s"" 'that' 'it' 'he' 'who' 'I'
 'they' 'one' 'people' 'all' 'we' 'she' '?' 'some' 'them' 'so'
 'government' 'just' 'most' 'now' 'Obama' 'many' 'then' 'American'
 'business' '...' 'companies' 'here' 'America' 'workers' 'Americans'
 'someone' 'anyone' 'employees' 'businesses' 'everyone' 'unions'
 'employers' 'i' 'folks' 'YOU' 'republicans' 'obama' 'america' 'u'
 'americans']",[0.         0.         0.01857913 ... 0.         0.         0.        ],54,19,76,True,<UNK>,you
515,"['<UNK>' 'the' ',' 'to' 'and' '""' ""'s"" 'that' 'is' 'be' 'have' 'not'
 'will' 'or' 'also' 'people' 'all' 'can' 'could' 'only' 'just' 'now' 'do'
 'even' 'may' 'should' 'still' 'did' '...' 'might' 'really' 'always' ""'ll""
 ""'d"" 'probably' 'actually' 'dont' 'wouldnt']",[0.         0.         0.02638204 ... 0.         0.         0.        ],38,19,77,True,really,would
516,,,0,19,78,False,rather,rather
517,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'be' 'have' 'are'
 'an' 'not' 'had' 'their' 'this' 'more' 'than' ""'t"" 'you' 'people' 'all'
 'some' 'them' 'no' 'just' 'like' 'do' 'get' 'our' 'take' 'my' 'your'
 'see' 'own' 'need' 'want' 'pay' 'start' 'care' 'find' 'cut' 'face' 'stop'
 'feel' 'meet' 'bring' 'fight' 'create' 'beat' 'raise' 'drive' 'avoid'
 'receive' 'post' 'enjoy' 'earn' 'suffer' 'wage' 'american']",[0.         0.         0.01615849 ... 0.         0.         0.        ],62,19,79,True,wage,collect
518,,,0,19,80,False,unemployment,unemployment
519,,,0,19,81,False,like,like
520,"['<UNK>' ',' 'to' 'of' 'and' 'a' 'for' 'as' '?' 'some' '...']",[0.         0.         0.09117311 ... 0.         0.         0.        ],11,19,82,True,...,the
521,"['<UNK>' 'the' ',' '""' 'more' 'one' 'year' 'two' 'people' 'last' 'first'
 ""'"" 'other' 'only' 'most' 'three' 'many' 'world' 'company' 'home'
 'country' 'way' 'work' 'day' 'President' 'end' '%' 'left' 'good' 'man'
 'number' 'president' 'family' 'right' '1' 'top' 'past' 'best' '2' 'job'
 'future' 'nation' 'majority' 'whole' 'equivalent' 'sick' 'typical']",[0.         0.         0.02180262 ... 0.         0.         0.        ],47,19,83,True,the,rest
522,"['<UNK>' 'the' ',' '.' 'to' 'and' 'in' 'that' 'for' 'on' 'is' 'from' 'are'
 'or' 'than' 'you' '?' 'do' '...' '!']",[0.         0.         0.05001342 ... 0.         0.         0.        ],20,19,84,True,or,of
523,,,0,19,85,False,the,the
524,"['<UNK>' 'the' '""' 'other' 'American' '...' 'real']",[0.         0.         0.14558565 ... 0.         0.         0.        ],7,19,86,True,real,Tea
525,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' ""'s"" 'that' 'is' ')' '...' '!'
 '&' '..']",[0.         0.         0.06310784 ... 0.         0.         0.        ],16,19,87,True,),Klaners..
526,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'was' 'with' 'said' 'as' 'at' 'it' 'by' 'from' 'be' 'have' 'has'
 'his' 'are' 'an' ')' 'not' 'will' 'I' 'their' '--' 'but' 'this' 'more'
 'or' 'its' 'about' 'after' 'up' '$' 'one' 'than' ""'t"" 'out' 'you'
 'people' '-' 'all' 'over' 'first' ""'"" 'other' 'there' '?' 'time' 'some'
 'them' 'if' 'no' 'so' 'just' 'before' 'like' 'now' 'do' 'any' 'while'
 'get' 'our' 'says' 'say' 'including' 'then' 'my' 'well' 'your' 'another'
 'see' 'go' '%' 'good' 'me' 'use' '...' 'right' 'know' 'without' '!' '&'
 'better' 'am' '+' 'http' 'plus' '..' 'please' 'ad' '@' 'i' '>' 'c' 'b'
 'o' 'y' 'hey' 'thats' 'u' 'lol']",[0.         0.         0.00909561 ... 0.         0.         0.        ],112,19,88,True,just,You
527,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'is' 'as' 'be'
 'have' 'are' 'not' '(' 'will' 'who' 'would' ""'t"" 'people' '-' 'all' 'can'
 ""'"" 'could' 'no' 'only' 'just' 'like' 'now' 'do' 'get' 'make' 'say'
 'even' 'may' 'should' 'then' 'did' 'take' 'help' 'see' 'go' 'called'
 'use' 'don' 'need' '...' 'might' ""'re"" 'want' 'know' '!' 'got' 'pay'
 'care' 'must' 'really' 'keep' ""'m"" 'call' 'always' 'name' ""'ll"" 'buy'
 'stop' 'love' 'ask' 'write' 'hate' 'deserve' 'gonna']",[0.         0.         0.01356607 ... 0.         0.         0.        ],74,19,89,True,<UNK>,scream..you
528,,,0,19,90,False,complain..and,complain..and
529,"['<UNK>' ',' '.' 'to' 'of' 'and' 'a' '""' ""'s"" 'that' 'for' 'is' 'as' 'it'
 'be' 'are' ')' 'not' 'will' 'who' 'I' 'they' 'but' 'more' 'or' 'would'
 'than' 'also' ""'t"" 'people' 'all' 'can' 'we' 'could' '?' 'them' 'so'
 'only' 'just' 'like' 'now' 'do' 'even' 'may' 'should' 'still' 'then'
 'well' 'your' 'day' 'help' 'both' 'me' '...' 'already' '!' 'us' 'never'
 'better' 'does' 'must' 'really' 'once' 'always' 'probably' 'actually'
 'cannot' 'instead' 'simply' 'sometimes' 'maybe' 'please' 'i' 'folks' 't'
 'dont' 'cant']",[0.         0.         0.01304774 ... 0.         0.         0.        ],77,19,91,True,will,you
530,,,0,19,92,False,sit,sit
531,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' 'that' 'for' 'on' 'is' 'with'
 'as' 'it' 'by' 'from' 'not' 'this' 'or' 'about' 'up' 'out' 'you' 'them'
 'him' 'like' 'back' 'your' 'me']",[0.         0.         0.03335411 ... 0.         0.         0.        ],30,19,93,True,back,at
532,,,0,19,94,False,home,home
533,"['<UNK>' ',' '.' 'to' 'of' 'and' '""' 'for' 'on' 'is' 'with' 'as' 'at' 'by'
 'from' 'are' 'not' '--' 'but' 'or' 'about' ':' 'after' 'up' 'out' 'all'
 'over' 'only' 'just' 'like' 'while' '...' '!' '&' 'playing' 'calling'
 'paying']",[0.         0.         0.02704233 ... 0.         0.         0.        ],37,19,95,True,calling,in
534,"['<UNK>' 'the' ',' 'and' 'a' 'in' '""' 'that' 'his' 'their' 'its' 'her'
 'you' 'two' 'all' ""'"" 'other' 'some' 'them' 'many' 'New' 'our' 'those'
 'my' 'these' '...' '2' 'real']",[0.         0.         0.03601744 ... 0.         0.         0.        ],28,19,96,True,',your
535,,,0,19,97,False,wife,wife
536,"['<UNK>' ',' '...']",[0.         0.         0.33310749 ... 0.         0.         0.        ],3,19,98,True,",",beaters
537,,,0,19,99,False,and,and
538,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'is'
 'with' 'at' 'it' 'from' 'be' 'have' 'he' 'his' 'are' 'an' 'not' 'I'
 'their' 'they' 'this' 'more' 'about' 'one' 'also' ""'t"" 'you' 'people'
 'all' 'can' ""'"" 'we' 'other' 'some' 'if' 'no' 'so' 'what' 'only' 'just'
 'most' 'like' 'being' 'do' '/' 'get' 'our' 'those' 'say' 'even' 'how'
 'still' 'my' 'under' 'your' 'own' 'too' 'me' 'use' '...' 'never' 'every'
 'look' 'feel' 'white' 'stay' 'everyone' 'i']",[0.         0.         0.01347967 ... 0.         0.         0.        ],75,19,100,True,...,drink
539,,,0,19,101,False,beer..Typical,beer..Typical
540,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'for' 'on' 'is' 'was'
 'with' 'as' 'by' 'are' ')' '--' 'or' 'about' 'you' '-' 'first' ""'"" 'no'
 'only' 'Obama' 'says' 'say' 'American' '...' '&' 'real' 'old']",[0.         0.         0.02776832 ... 0.         0.         0.        ],36,19,102,True,of,Real
541,,,0,19,103,False,White,White
542,,,0,19,104,False,Tea,Tea
543,,,0,19,105,False,Klan,Klan
544,,,0,19,106,False,...,...
